Date,Nest_ID,Clutch_number,Clutch_size,Egg_ID,Length,Width,Egg_order,Female,Hatching_success,Survival_success,Survival_success
2015-09-03,B,1,6,B1,48.82,35.85,1,A,0,,Failed
2015-09-03,B,1,6,B2,48.84,35.89,2,A,0,,Failed
2015-09-03,B,1,6,B3,52.91,35.65,3,B,1,1,Survived
2015-09-03,B,1,6,B4,55.18,39.44,4,A,1,0,Hatched
2015-09-03,B,1,6,B5,51.57,37.36,5,B,1,0,Hatched
2015-09-03,B,1,6,B6,53.85,38.85,6,A,0,,Failed
2015-09-03,C,1,7,C1,55.38,38.94,1,A,0,,Failed
2015-09-03,C,1,7,C2,52.08,37.39,2,A,0,,Failed
2015-09-03,C,1,7,C3,58.58,37.58,3,B,1,0,Hatched
2015-09-03,C,1,7,C4,52.57,37.16,4,A,1,0,Hatched
2015-09-03,C,1,7,C5,52.46,37.52,5,B,1,1,Survived
2015-09-03,C,1,7,C6,51.15,36.66,6,A,1,0,Hatched
2015-09-03,C,1,7,C7,56.43,37.89,7,B,1,0,Hatched
2015-09-05,F,1,7,F1,54.2,37.48,1,A,0,,Failed
2015-09-05,F,1,7,F2,51.2,37.61,2,B,0,,Failed
2015-09-05,F,1,7,F3,52.73,35.94,3,A,1,0,Hatched
2015-09-05,F,1,7,F4,50.76,37.21,4,B,1,0,Hatched
2015-09-05,F,1,7,F5,54.67,36.25,5,A,1,0,Hatched
2015-09-05,F,1,7,F6,54.61,34.32,6,B,1,1,Survived
2015-09-05,F,1,7,F7,54.63,36.79,7,A,0,,Failed
2015-09-05,G,1,7,G1,51.86,37.03,1,A,0,,Failed
2015-09-05,G,1,7,G2,52.85,37.49,2,A,1,1,Survived
2015-09-05,G,1,7,G3,53.57,37.53,3,A,1,1,Hatched
2015-09-05,G,1,7,G4,54.08,38.03,4,B,1,1,Hatched
2015-09-05,G,1,7,G5,54.79,37.13,5,A,0,,Failed
2015-09-05,G,1,7,G6,53.93,36.88,6,B,0,,Failed
2015-09-05,G,1,7,G7,53.31,36.92,7,B,0,1,Failed
2015-09-05,J,1,6,J1,51.18,37.41,1,A,1,0,Hatched
2015-09-05,J,1,6,J2,53.86,36.7,2,A,1,0,Hatched
2015-09-05,J,1,6,J3,51.67,36.79,3,B,1,1,Survived
2015-09-05,J,1,6,J4,53.22,37.08,4,A,1,0,Hatched
2015-09-05,J,1,6,J5,53.64,37.22,5,B,0,,Failed
2015-09-05,J,1,6,J6,52.53,37.51,6,A,0,,Failed
2015-09-05,K,1,9,K1,55.15,35.53,1,A,1,1,Survived
2015-09-05,K,1,9,K2,54.88,34.84,2,A,1,0,Hatched
2015-09-05,K,1,9,K3,52.82,35.61,3,B,1,0,Hatched
2015-09-05,K,1,9,K4,53.57,34.41,4,A,0,,Failed
2015-09-05,K,1,9,K5,52.63,35.88,5,B,0,,Failed
2015-09-05,K,1,9,K6,53.26,35.31,6,A,0,,Failed
2015-09-05,K,1,9,K7,49.21,35.28,7,B,1,0,Hatched
2015-09-05,K,1,9,K8,54.82,35.03,8,B,1,0,Hatched
2015-09-05,K,1,9,K9,59.93,38.92,9,A,0,,Failed
2015-09-05,L,1,10,L1,52.69,37.17,1,A,0,,Failed
2015-09-05,L,1,10,L2,53.72,36.36,2,B,1,1,Survived
2015-09-05,L,1,10,L3,53.72,36.79,3,A,1,0,Hatched
2015-09-05,L,1,10,L4,51.51,36.68,4,A,1,0,Hatched
2015-09-05,L,1,10,L5,51.73,36.66,5,B,0,,Failed
2015-09-05,L,1,10,L6,54.05,36.45,6,A,0,,Failed
2015-09-05,L,1,10,L7,53.36,37.71,7,B,0,,Failed
2015-09-05,L,1,10,L8,50.66,37.16,8,A,1,0,Hatched
2015-09-05,L,1,10,L9,53.58,37.65,9,A,1,0,Hatched
2015-09-05,L,1,10,L10,49.4,36.94,10,B,1,1,Survived
2015-09-05,M,1,8,M1,48.58,35.9,1,A,1,0,Hatched
2015-09-05,M,1,8,M2,48.84,37.15,2,B,1,0,Hatched
2015-09-05,M,1,8,M3,51.5,34.63,3,A,0,,Failed
2015-09-05,M,1,8,M4,49.58,36.23,4,B,0,,Failed
2015-09-05,M,1,8,M5,50.46,36.28,5,A,1,0,Hatched
2015-09-05,M,1,8,M6,53.31,37.48,6,B,1,0,Hatched
